Category,VariableName,ExtractedValue,Notes
Performance metrics,threshold_effect_present,No,"Spearman correlation between log(SEN) and log(1-SPE) = -0.588, P = 0.044 (no threshold effect)"
Performance metrics,heterogeneity_sensitivity_i2,56.43,"χ² = 27.54, P = 0.01; random-effects model used"
Performance metrics,heterogeneity_specificity_i2,81.82,"χ² = 66.00, P = 0.00; high heterogeneity"
Performance metrics,meta_regression_covariates,Follow-up deadline (≤20 vs >20 weeks); sample size (≤100 vs >100); study population (Africa vs other continents),
Performance metrics,meta_regression_findings,Sample size and study population significantly explained heterogeneity; follow-up deadline did not (P = 0.11),
Performance metrics,publication_bias_assessment,No significant publication bias,Deek’s funnel plot P = 0.81 (symmetrical)
Risk of bias,risk_of_bias_tool,QUAPAS,Adaptation of QUADAS-2 for prognostic accuracy
Risk of bias,risk_of_bias_domains,Participants; index test; outcome; flow and timing; analysis,
Risk of bias,common_risk_of_bias_issues,Participant selection bias; population imbalance; variation in assay methods and management practices,
Risk of bias,grade_sensitivity,Moderate,Sensitivity downgraded due to participant bias and moderate heterogeneity
Risk of bias,grade_specificity,Low,Downgraded for risk of bias and substantial heterogeneity
Risk of bias,grade_plr,Low,"Downgraded for risk of bias, wide CI, and indirectness"
Risk of bias,grade_nlr,Low,Downgraded for risk of bias and imprecision
Risk of bias,grade_dor,Low,Downgraded for risk of bias and inconsistency (very wide CI)
Risk of bias,grade_auc,Low,Downgraded for risk of bias and indirectness
Study identifiers,study_id,Ku_2015,Internal ID constructed as FirstAuthor_Year
Study identifiers,first_author,Ku,Chee Wai Ku
Study identifiers,publication_year,2015,
Study identifiers,journal,Gynecological Endocrinology,
Study identifiers,doi,10.3109/09513590.2015.1031103,
Study identifiers,country,Singapore,Tertiary women’s hospital emergency unit in Singapore
Study identifiers,setting,Emergency unit of tertiary women’s hospital,Women presenting with threatened miscarriage
Study identifiers,study_design,Prospective cohort study,
Study identifiers,recruitment_period,,Not reported in the accessible text
Study identifiers,funding_source,Not reported,Declaration of interest notes no conflicts; funding not specified
Study identifiers,registration_id,,Study registration not reported
Eligibility & sample,sample_size_total,119,Prospective cohort of 119 women with threatened miscarriage
Eligibility & sample,n_tm,119,All participants had threatened miscarriage at 6–10 weeks
Eligibility & sample,n_miscarriage,30,30/119 (25.2%) had spontaneous miscarriage
Eligibility & sample,n_ongoing,89,119 - 30 = 89 ongoing pregnancies
Eligibility & sample,inclusion_criteria,Women presenting with threatened miscarriage between 6 and 10 weeks of gestation at a tertiary women’s hospital emergency unit; viable intrauterine pregnancy at presentation.,Detailed criteria not fully visible in web snapshot/PDF capture
Eligibility & sample,exclusion_criteria,,Not clearly visible in captured text
Eligibility & sample,ga_range_included,6–10 weeks,Gestation weeks 6 to 10 at presentation
Presentation,bleeding_required,Yes,Threatened miscarriage (vaginal bleeding with viable pregnancy)
Presentation,ga_at_presentation_range_weeks,6–10,As specified in abstract
Presentation,bleeding_severity,,Severity categories not visible in captured text
Presentation,pain_recorded,,Not clearly reported in accessible text
Biochemical markers,progesterone_used,Yes,Serum progesterone as primary biomarker
Biochemical markers,pibf_used,Yes,Progesterone-induced blocking factor (PIBF) evaluated alongside progesterone
Biochemical markers,progesterone_or_per_unit,0.91,OR per unit increase in serum progesterone (95% CI 0.88–0.94) associated with lower miscarriage risk
Biochemical markers,progesterone_or_95ci,0.88–0.94,
Biochemical markers,pibf_or_per_unit,0.99,OR per unit increase in PIBF (95% CI 0.98–0.99) associated with lower miscarriage risk
Biochemical markers,pibf_or_95ci,0.98–0.99,
Biochemical markers,progesterone_mean_levels,,Exact mean±SD progesterone levels by outcome group not visible in captured text
Biochemical markers,pibf_mean_levels,,Exact mean±SD PIBF levels not visible in captured text
Prediction model details,model_name,Ku_2015_risk_model,Label assigned for extraction purposes
Prediction model details,model_type,Logistic regression,Predictive models for probability of spontaneous miscarriage
Prediction model details,model_purpose,Multivariable clinical+biochemical model,To calculate probability of spontaneous miscarriage in TM
Prediction model details,predictors_in_model,Serum progesterone; maternal BMI; fetal heart rate,As described in abstract: progesterone together with maternal BMI and fetal heart rate
Prediction model details,feature_selection_method,,Specific selection strategy not visible in captured text
Prediction model details,handling_missing_data,,Not reported in accessible text
Prediction model details,internal_validation_method,,Any internal validation (bootstrapping/cross-validation) not visible in the captured pages
Prediction model details,external_validation,No,Single-centre derivation cohort only; no external validation reported in abstract
Prediction model details,model_presentation,Probability model described; details likely in full text,Abstract mentions proposed models; full regression equation not visible
Outcomes,outcome_primary_definition,Completed spontaneous miscarriage after presentation with threatened miscarriage,Spontaneous miscarriage vs ongoing pregnancy
Outcomes,followup_end_ga_weeks,,Exact follow-up endpoint not clearly visible in captured text
Performance metrics,auc_roc,,"If AUC reported, it is not visible in captured web/PDF snapshot"
Performance metrics,sensitivity_main_cutoff,,Sensitivity/specificity at chosen cut-offs not visible in current text
Performance metrics,specificity_main_cutoff,,
Study identifiers,study_id,Ku_2025,Internal ID constructed as FirstAuthor_Year
Study identifiers,first_author,Ku,Chee Wai Ku
Study identifiers,publication_year,2025,
Study identifiers,journal,Frontiers in Medicine,
Study identifiers,doi,10.3389/fmed.2025.1669594,
Study identifiers,country,Singapore,"KK Women’s and Children’s Hospital, Singapore"
Study identifiers,setting,Urgent O&G Center (UOGC) of KK Women’s and Children’s Hospital,Single-center tertiary women’s hospital
Study identifiers,study_design,Prospective cohort study,
Study identifiers,recruitment_period,6 October 2017–20 May 2023,
Study identifiers,strobe_used,Yes,Followed STROBE reporting guideline
Study identifiers,ethics_approval,SingHealth CIRB 2017/2638,
Study identifiers,funding_source,"Lien Foundation Optimizing Maternal and Child Health Program; National Medical Research Council, Ministry of Health, Singapore",
Study identifiers,registration_id,,Clinical trial registration not reported
Eligibility & sample,sample_size_total,1080,Total analyzed women with threatened miscarriage
Eligibility & sample,n_tm,1080,All had threatened miscarriage with viable IUP
Eligibility & sample,n_miscarriage,187,Miscarriage by 16 weeks’ gestation
Eligibility & sample,n_ongoing,893,Ongoing pregnancy at 16 weeks
Eligibility & sample,miscarriage_rate_percent,17.3,187/1080
Eligibility & sample,screened_total,1938,Women screened at UOGC
Eligibility & sample,excluded_n,584,Met one or more exclusion criteria at screening
Eligibility & sample,lost_to_followup_n,246,Lost to follow-up before 16 weeks
Eligibility & sample,unknown_fetal_pole_status_n,12,
Eligibility & sample,not_in_ga_range_n,13,GA outside 5–12 weeks by ultrasound
Eligibility & sample,inclusion_criteria,Women presenting with threatened miscarriage at 5–12 weeks’ gestation (per vaginal bleeding with intrauterine gestational sac and fetal pole) with single confirmed intrauterine pregnancy dated via transvaginal ultrasound.,
Eligibility & sample,exclusion_criteria,Received progestogens during current pregnancy; multiple gestations; IVF pregnancies; incomplete or missed miscarriage (CRL ≥7 mm without cardiac activity); pregnancy of unknown location; ectopic pregnancy; termination of pregnancy; no fetal pole present.,
Eligibility & sample,ga_range_included,5–12 weeks,Gestation by ultrasound at presentation
Baseline maternal,mean_maternal_age_all,31.0,"Mean age (years) for all, SD 4.44"
Baseline maternal,sd_maternal_age_all,4.44,
Baseline maternal,mean_maternal_age_ongoing,30.8,"Ongoing pregnancy group, SD 4.26"
Baseline maternal,sd_maternal_age_ongoing,4.26,
Baseline maternal,mean_maternal_age_miscarriage,31.7,"Miscarriage group, SD 5.17"
Baseline maternal,sd_maternal_age_miscarriage,5.17,
Baseline maternal,ethnicity_chinese_n,544,Chinese overall n (50.4%)
Baseline maternal,ethnicity_chinese_ongoing_n,455,
Baseline maternal,ethnicity_chinese_miscarriage_n,89,
Baseline maternal,ethnicity_malay_n,263,24.4% overall
Baseline maternal,ethnicity_malay_ongoing_n,217,
Baseline maternal,ethnicity_malay_miscarriage_n,46,
Baseline maternal,ethnicity_indian_n,136,12.6% overall
Baseline maternal,ethnicity_indian_ongoing_n,110,
Baseline maternal,ethnicity_indian_miscarriage_n,26,
Baseline maternal,ethnicity_others_n,136,12.6% overall; counts appear duplicated in table for Others
Baseline maternal,ethnicity_others_ongoing_n,110,As reported in table; potential typographical duplication
Baseline maternal,ethnicity_others_miscarriage_n,26,
Baseline maternal,bmi_underweight_n,52,"BMI <18.5 kg/m², 5.5% overall"
Baseline maternal,bmi_normal_n,498,"18.5–24.9 kg/m², 52.3% overall"
Baseline maternal,bmi_overweight_n,250,"25.0–29.9 kg/m², 26.3% overall"
Baseline maternal,bmi_obese_n,152,"≥30 kg/m², 16.0% overall"
Baseline maternal,prior_miscarriages_1_n,192,81.4% with 1 prior miscarriage among those with any prior miscarriages (row subtotal)
Baseline maternal,prior_miscarriages_ge2_n,44,18.6% with ≥2 prior miscarriages
Presentation,nausea_no_n,591,66.6% overall without nausea
Presentation,nausea_yes_n,296,33.4% overall with nausea
Presentation,nausea_no_ongoing_n,480,64.8%
Presentation,nausea_no_miscarriage_n,111,76.0%
Presentation,pain_no_n,652,61.4% overall without pain
Presentation,pain_yes_n,410,38.6% overall with pain
Presentation,pbac_0_n,25,PBAC score 0 (2.4%)
Presentation,pbac_1_n,867,81.6%
Presentation,pbac_2_n,24,2.3%
Presentation,pbac_3_n,6,0.6%
Presentation,smoker_no_n,177,93.2% of those with smoking data
Presentation,smoker_yes_n,13,6.8%; smoking data missing in n=890
Ultrasound predictors,ga_ultrasound_mean_all,7.28,"Mean GA by US (weeks), SD 1.71"
Ultrasound predictors,ga_ultrasound_sd_all,1.71,
Ultrasound predictors,ga_ultrasound_mean_ongoing,7.51,SD 1.77
Ultrasound predictors,ga_ultrasound_sd_ongoing,1.77,
Ultrasound predictors,ga_ultrasound_mean_miscarriage,6.20,SD 0.77
Ultrasound predictors,ga_ultrasound_sd_miscarriage,0.77,
Ultrasound predictors,fetal_heart_absent_n,151,14.0% overall
Ultrasound predictors,fetal_heart_present_n,929,86.0% overall
Ultrasound predictors,fetal_heart_absent_ongoing_n,62,6.9% in ongoing group
Ultrasound predictors,fetal_heart_absent_miscarriage_n,89,47.6% in miscarriage group
Ultrasound predictors,ultrasound_machine,Philips HS50,Transvaginal sonography device
Ultrasound predictors,ga_assessment_method,CRL (crown–rump length),GA determined via CRL
Ultrasound predictors,msd_measurement_method,Mean of three orthogonal planes (mm),
Ultrasound predictors,pregnancy_failure_criterion_msd,MSD ≥25 mm with no fetal pole,Diagnostic criterion for early pregnancy failure
Biochemical markers,progesterone_assay_type,"ARCHITECT progesterone kit (Abbott, Ireland)",Measured in KKH clinical laboratory
Biochemical markers,progesterone_unit,nmol/L,
Biochemical markers,low_progesterone_cutoff,35,<35 nmol/L defined as low/high-risk threshold
Biochemical markers,low_progesterone_n,198,18.4% overall with serum progesterone <35 nmol/L
Biochemical markers,low_progesterone_ongoing_n,61,6.9% of ongoing pregnancies
Biochemical markers,low_progesterone_miscarriage_n,137,73.3% of miscarriages
Biochemical markers,progesterone_treatment_given_n,257,23.8% overall received progesterone at UOGC
Biochemical markers,progesterone_treatment_ongoing_n,121,13.5% ongoing
Biochemical markers,progesterone_treatment_miscarriage_n,136,72.7% miscarriage group
Biochemical markers,sample_processing,"Maternal blood in plain tubes; centrifuged 10 min at 3,000 g within 2 h of collection",
Prediction model details,model1_description,Clinical + biochemical + radiological factors,"Maternal age, absence of nausea, number of miscarriages, low progesterone, GA, absence of fetal heart"
Prediction model details,model1_auroc,0.90,95% CI 0.87–0.93
Prediction model details,model1_aic,496.1,
Prediction model details,model2_description,"Reduced model (clinical + biochemical + radiological): maternal age, low progesterone, GA, absence of fetal heart",
Prediction model details,model2_auroc,0.90,95% CI 0.87–0.93
Prediction model details,model2_aic,495.2,
Prediction model details,model3_description,Clinical + biochemical (no ultrasound),
Prediction model details,model3_auroc,0.85,95% CI 0.82–0.89
Prediction model details,model3_aic,562.8,
Prediction model details,model4_description,Clinical + radiological (no progesterone),
Prediction model details,model4_auroc,0.80,95% CI 0.77–0.84
Prediction model details,model4_aic,706.0,
Prediction model details,model5_description,Clinical factors only,
Prediction model details,model5_auroc,0.57,95% CI 0.53–0.62
Prediction model details,model5_aic,887.5,
Prediction model details,model1_or_maternal_age,1.05,aOR (95% CI 1.00–1.11) per year
Prediction model details,model1_or_low_progesterone,26.3,aOR (95% CI 16.6–41.6) for progesterone <35 nmol/L
Prediction model details,model1_or_ga,0.57,aOR (95% CI 0.45–0.73) per week
Prediction model details,model1_or_absent_fetal_heart,3.91,aOR (95% CI 2.28–6.71)
Prediction model details,model2_or_maternal_age,1.05,aOR (95% CI 1.00–1.11)
Prediction model details,model2_or_low_progesterone,26.3,aOR (95% CI 16.6–41.5)
Prediction model details,model2_or_ga,0.57,aOR (95% CI 0.45–0.73)
Prediction model details,model2_or_absent_fetal_heart,4.05,aOR (95% CI 2.37–6.92)
Prediction model details,risk_score_equation,Score = 2*(age ≥40 years) + 3*(progesterone <35 nmol/L) + 1*(GA <6.36 weeks) + 2*(absence of fetal heart),Total scores 0–8
Prediction model details,risk_score_cutoff_ga_weeks,6.36,Cut-off for GA from ROC analysis
Prediction model details,risk_score_or_age_ge40,5.11,"aOR (95% CI 1.8–14.48), score 2"
Prediction model details,risk_score_or_prog_lt35,28.42,"aOR (95% CI 17.98–44.91), score 3"
Prediction model details,risk_score_or_ga_lt6_36,2.86,"aOR (95% CI 1.77–4.64), score 1"
Prediction model details,risk_score_or_no_fetal_heart,4.53,"aOR (95% CI 2.62–7.86), score 2"
Prediction model details,risk_score_low_group_range,0–2,Miscarriage 4.7% (38/811)
Prediction model details,risk_score_medium_group_range,3–5,Miscarriage 39.6% (74/187)
Prediction model details,risk_score_high_group_range,6–8,Miscarriage 97.4% (75/77)
Performance metrics,risk_score_auroc,0.82,AUROC for risk-score model
Performance metrics,risk_score_sensitivity_cutoff2,0.80,At optimal cut-off score 2
Performance metrics,risk_score_specificity_cutoff2,0.84,
Performance metrics,risk_score_ppv_cutoff2,0.51,
Performance metrics,risk_score_npv_cutoff2,0.95,
Performance metrics,risk_score_cv_auroc_mean,0.89,Average AUROC from 10-fold cross-validation
Performance metrics,risk_score_cv_auroc_95ci,0.85–0.92,"From 2,000 bootstrap replications"
Risk of bias,multiple_imputation_used,Yes,Chained equations with fully conditional specification
Risk of bias,firth_correction_used,Yes,Used in logistic regression to address separation
Risk of bias,missing_data_fraction,<0.05,Less than 0.05% missing in final model (5/1080)
Risk of bias,software_used,"SAS 9.4; Stata 18; R (mice, pROC)",
Study identifiers,study_id,Lek_2017,Internal ID constructed as FirstAuthor_Year
Study identifiers,first_author,Lek,Sze Min Lek
Study identifiers,publication_year,2017,
Study identifiers,journal,BMC Pregnancy and Childbirth,
Study identifiers,doi,10.1186/s12884-017-1261-4,
Study identifiers,country,Singapore,"KK Women’s and Children’s Hospital, Singapore"
Study identifiers,setting,24-h Women’s Clinic at KK Women’s and Children’s Hospital (tertiary hospital emergency unit for women),
Study identifiers,study_design,Prospective cohort study (validation cohort with comparison to prior pilot cohort),
Study identifiers,recruitment_period,September 2013–June 2015,
Study identifiers,funding_source,SingHealth Foundation Research Grant Call,
Study identifiers,ethics_approval,SingHealth CIRB 2013/320/D,
Study identifiers,registration_id,,Trial registration not reported
Eligibility & sample,sample_size_recruited_validation,360,Validation cohort recruited 360 women
Eligibility & sample,lost_to_followup_n,11,Lost to follow-up before 16 weeks
Eligibility & sample,withdrawn_termination_n,3,Withdrew due to induced termination of pregnancy
Eligibility & sample,sample_size_total,346,Validation cohort with outcome data analyzed
Eligibility & sample,n_tm,346,All had threatened miscarriage at 6–10 weeks
Eligibility & sample,n_miscarriage,70,20.2% experienced spontaneous miscarriage prior to week 16 in validation cohort
Eligibility & sample,n_ongoing,276,Ongoing pregnancy at 16 weeks (validation cohort)
Eligibility & sample,pilot_sample_size_total,119,Pilot cohort described in earlier Ku et al. study
Eligibility & sample,pilot_n_miscarriage,30,25.2% miscarried in pilot cohort
Eligibility & sample,pilot_n_ongoing,89,Ongoing in pilot cohort
Eligibility & sample,inclusion_criteria,Pregnant women aged ≥21 years with single intrauterine pregnancy between gestation weeks 6–10 (confirmed and dated by ultrasonography) presenting with pregnancy-related per vagina bleeding at the KKH 24-h Women’s Clinic.,
Eligibility & sample,exclusion_criteria,"Women with previous episodes of per vagina bleeding or treated with progesterone for previous per vagina bleeding in the current pregnancy; women diagnosed with inevitable miscarriage, missed miscarriage, blighted ovum, or planned termination of pregnancy.",
Eligibility & sample,ga_range_included,6–10 weeks,Gestational age at recruitment by ultrasound
Biochemical markers,progesterone_assay_type,"ARCHITECT progesterone kit (Abbott, Ireland)",Measured in KKH clinical laboratory
Biochemical markers,progesterone_unit,nmol/L,
Biochemical markers,sample_handling,Maternal blood collected in plain tubes; centrifuged 10 min at 3000 g within 2 h of collection.,
Biochemical markers,progesterone_mean_ongoing_pilot,59.8,"Mean serum progesterone (nmol/L) in pilot cohort, ongoing pregnancy at 16 weeks; SD 23.5"
Biochemical markers,progesterone_sd_ongoing_pilot,23.5,
Biochemical markers,progesterone_mean_ongoing_validation,60.3,"Mean serum progesterone (nmol/L) in validation cohort, ongoing pregnancy; SD 22.7"
Biochemical markers,progesterone_sd_ongoing_validation,22.7,
Biochemical markers,progesterone_mean_miscarriage_pilot,26.4,"Mean serum progesterone (nmol/L) in pilot cohort, miscarriage; SD 17.1"
Biochemical markers,progesterone_sd_miscarriage_pilot,17.1,
Biochemical markers,progesterone_mean_miscarriage_validation,31.4,"Mean serum progesterone (nmol/L) in validation cohort, miscarriage; SD 20.1"
Biochemical markers,progesterone_sd_miscarriage_validation,20.1,
Baseline maternal,mean_maternal_age_ongoing_validation,30.3,"Mean maternal age (years) in validation cohort, ongoing pregnancies; SD 4.10"
Baseline maternal,sd_maternal_age_ongoing_validation,4.10,
Baseline maternal,mean_maternal_age_miscarriage_validation,31.6,"Mean maternal age (years) in validation cohort, miscarriages; SD 5.22"
Baseline maternal,sd_maternal_age_miscarriage_validation,5.22,
Baseline maternal,ga_at_recruitment_mean_ongoing_validation,7.48,"Gestational age at recruitment (weeks) in validation cohort, ongoing pregnancies; SD 1.47"
Baseline maternal,ga_at_recruitment_sd_ongoing_validation,1.47,
Baseline maternal,ga_at_recruitment_mean_miscarriage_validation,6.63,"Gestational age at recruitment (weeks) in validation cohort, miscarriages; SD 1.06"
Baseline maternal,ga_at_recruitment_sd_miscarriage_validation,1.06,
Baseline maternal,previous_miscarriage_ongoing_validation_percent,24.0,"Previous miscarriage (%) in validation cohort, ongoing pregnancies"
